date,store_id,state_id,cat_id,total_sales,weekday,month,year,event_name_1,event_type_1,event_name_2,event_type_2
2011-01-31,CA_1,CA,HOBBIES,415,Monday,1,2011,,,,
2011-02-16,CA_1,CA,HOBBIES,270,Wednesday,2,2011,,,,
2011-12-31,CA_1,CA,HOBBIES,384,Saturday,12,2011,,,,
2012-05-29,CA_1,CA,HOBBIES,529,Tuesday,5,2012,,,,
2012-06-19,CA_1,CA,HOBBIES,265,Tuesday,6,2012,,,,
2012-12-08,CA_1,CA,HOBBIES,412,Saturday,12,2012,,,,
2013-01-28,CA_1,CA,HOBBIES,445,Monday,1,2013,,,,
2013-03-19,CA_1,CA,HOBBIES,469,Tuesday,3,2013,,,,
2013-08-26,CA_1,CA,HOBBIES,365,Monday,8,2013,,,,
2013-10-23,CA_1,CA,HOBBIES,510,Wednesday,10,2013,,,,
2013-11-03,CA_1,CA,HOBBIES,601,Sunday,11,2013,,,,
2014-02-09,CA_1,CA,HOBBIES,387,Sunday,2,2014,,,,
2014-03-10,CA_1,CA,HOBBIES,459,Monday,3,2014,,,,
2014-04-18,CA_1,CA,HOBBIES,513,Friday,4,2014,,,,
2014-05-21,CA_1,CA,HOBBIES,345,Wednesday,5,2014,,,,
2014-10-03,CA_1,CA,HOBBIES,467,Friday,10,2014,,,,
2014-10-06,CA_1,CA,HOBBIES,508,Monday,10,2014,,,,
2014-12-14,CA_1,CA,HOBBIES,596,Sunday,12,2014,,,,
2015-02-12,CA_1,CA,HOBBIES,438,Thursday,2,2015,,,,
2015-03-09,CA_1,CA,HOBBIES,436,Monday,3,2015,,,,
2015-05-03,CA_1,CA,HOBBIES,613,Sunday,5,2015,,,,
2015-07-21,CA_1,CA,HOBBIES,425,Tuesday,7,2015,,,,
2015-08-06,CA_1,CA,HOBBIES,515,Thursday,8,2015,,,,
2015-09-21,CA_1,CA,HOBBIES,453,Monday,9,2015,,,,
2011-07-02,CA_1,CA,HOUSEHOLD,613,Saturday,7,2011,,,,
2011-08-14,CA_1,CA,HOUSEHOLD,751,Sunday,8,2011,,,,
2012-10-07,CA_1,CA,HOUSEHOLD,929,Sunday,10,2012,,,,
2012-11-08,CA_1,CA,HOUSEHOLD,481,Thursday,11,2012,,,,
2012-11-27,CA_1,CA,HOUSEHOLD,487,Tuesday,11,2012,,,,
2013-08-25,CA_1,CA,HOUSEHOLD,1281,Sunday,8,2013,,,,
