date,store_id,cat_id,actual_sales,predicted_sales
2016-03-28,CA_1,FOODS,2480,2756.1814129679947
2016-03-29,CA_1,FOODS,2481,2513.0311443483974
2016-03-30,CA_1,FOODS,2135,2496.75517970987
2016-03-31,CA_1,FOODS,2651,2269.8248274214516
2016-04-01,CA_1,FOODS,3132,3221.4478300589526
2016-04-02,CA_1,FOODS,3890,3763.154665025479
2016-04-03,CA_1,FOODS,4226,4136.087464710836
2016-04-04,CA_1,FOODS,3273,3273.0073780303164
2016-04-05,CA_1,FOODS,2711,2880.9807726286467
2016-04-06,CA_1,FOODS,2698,2804.636863522244
2016-04-07,CA_1,FOODS,2450,2700.9886909901306
2016-04-08,CA_1,FOODS,3141,2990.104713575654
2016-04-09,CA_1,FOODS,4073,3820.540304025346
2016-04-10,CA_1,FOODS,4061,3761.09852311111
2016-04-11,CA_1,FOODS,2876,3001.6580892056268
2016-04-12,CA_1,FOODS,2372,2539.3123926553258
2016-04-13,CA_1,FOODS,2341,2468.5700754958075
2016-04-14,CA_1,FOODS,2421,2438.016303688352
2016-04-15,CA_1,FOODS,2706,2876.859461385411
2016-04-16,CA_1,FOODS,3481,3587.414486195054
2016-04-17,CA_1,FOODS,4004,3837.563061255553
2016-04-18,CA_1,FOODS,2886,2744.507135343989
2016-04-19,CA_1,FOODS,2488,2356.947373609346
2016-04-20,CA_1,FOODS,2490,2342.12123360811
2016-04-21,CA_1,FOODS,2533,2382.9792504066077
2016-04-22,CA_1,FOODS,2960,2950.095087372891
2016-04-23,CA_1,FOODS,3655,3599.9752424298035
2016-04-24,CA_1,FOODS,4053,3648.020200758036
2016-03-28,CA_1,HOBBIES,535,405.85463756752773
2016-03-29,CA_1,HOBBIES,498,463.0287666257815
2016-03-30,CA_1,HOBBIES,465,454.40689410824547
2016-03-31,CA_1,HOBBIES,536,457.39173773420504
2016-04-01,CA_1,HOBBIES,743,543.5283161053263
2016-04-02,CA_1,HOBBIES,603,682.8988957552668
2016-04-03,CA_1,HOBBIES,790,620.059893866011
2016-04-04,CA_1,HOBBIES,463,537.9115617321977
2016-04-05,CA_1,HOBBIES,545,473.0010410508246
2016-04-06,CA_1,HOBBIES,427,495.88787305986034
2016-04-07,CA_1,HOBBIES,394,519.6694969552065
2016-04-08,CA_1,HOBBIES,582,534.9958827007258
2016-04-09,CA_1,HOBBIES,571,646.0178859895616
2016-04-10,CA_1,HOBBIES,547,648.6134589802463
2016-04-11,CA_1,HOBBIES,620,471.5962023835218
2016-04-12,CA_1,HOBBIES,391,500.4146006339496
2016-04-13,CA_1,HOBBIES,415,437.98002788227296
2016-04-14,CA_1,HOBBIES,429,415.85814474515564
2016-04-15,CA_1,HOBBIES,401,541.1778844061345
2016-04-16,CA_1,HOBBIES,722,544.103102467706
2016-04-17,CA_1,HOBBIES,655,583.5291633505361
2016-04-18,CA_1,HOBBIES,542,516.377055705727
2016-04-19,CA_1,HOBBIES,495,465.604186547682
2016-04-20,CA_1,HOBBIES,363,464.20163548933124
2016-04-21,CA_1,HOBBIES,410,438.4181610547176
2016-04-22,CA_1,HOBBIES,527,466.9536253468807
2016-04-23,CA_1,HOBBIES,670,643.6998005108588
2016-04-24,CA_1,HOBBIES,714,555.7433665599647
2016-03-28,CA_1,HOUSEHOLD,890,872.9946140966172
2016-03-29,CA_1,HOUSEHOLD,809,810.5958645990612
2016-03-30,CA_1,HOUSEHOLD,739,793.6492812542836
2016-03-31,CA_1,HOUSEHOLD,889,796.3424512557104
2016-04-01,CA_1,HOUSEHOLD,1108,1090.8345837238915
2016-04-02,CA_1,HOUSEHOLD,1384,1348.5301660490652
2016-04-03,CA_1,HOUSEHOLD,1480,1389.394313710659
2016-04-04,CA_1,HOUSEHOLD,1076,975.4395983633788
2016-04-05,CA_1,HOUSEHOLD,807,892.3248680983171
2016-04-06,CA_1,HOUSEHOLD,839,823.6477820060577
2016-04-07,CA_1,HOUSEHOLD,811,836.3819516796208
2016-04-08,CA_1,HOUSEHOLD,996,971.5998412684098
2016-04-09,CA_1,HOUSEHOLD,1468,1346.9868258744461
2016-04-10,CA_1,HOUSEHOLD,1361,1456.8978069369143
2016-04-11,CA_1,HOUSEHOLD,988,1025.1087276054227
2016-04-12,CA_1,HOUSEHOLD,816,852.6808360376602
2016-04-13,CA_1,HOUSEHOLD,722,846.1744921533582
2016-04-14,CA_1,HOUSEHOLD,787,779.7903163773876
2016-04-15,CA_1,HOUSEHOLD,875,951.735603865487
2016-04-16,CA_1,HOUSEHOLD,1234,1344.5817069898842
2016-04-17,CA_1,HOUSEHOLD,1295,1352.145883813378
2016-04-18,CA_1,HOUSEHOLD,917,942.9356832776518
2016-04-19,CA_1,HOUSEHOLD,810,828.2811868839349
2016-04-20,CA_1,HOUSEHOLD,869,794.5329007586025
2016-04-21,CA_1,HOUSEHOLD,766,795.3779203499134
2016-04-22,CA_1,HOUSEHOLD,900,938.1823361955867
2016-04-23,CA_1,HOUSEHOLD,1252,1211.4103469595916
2016-04-24,CA_1,HOUSEHOLD,1346,1199.7120092246357
2016-03-28,CA_2,FOODS,2376,2474.6248094538482
2016-03-29,CA_2,FOODS,2433,2336.121445767533
2016-03-30,CA_2,FOODS,2360,2362.6481543040272
2016-03-31,CA_2,FOODS,2340,2312.1724390677527
2016-04-01,CA_2,FOODS,3081,2848.819461478021
2016-04-02,CA_2,FOODS,3799,3856.631694372294
2016-04-03,CA_2,FOODS,4150,3956.481893178998
2016-04-04,CA_2,FOODS,2664,2784.1012209053797
2016-04-05,CA_2,FOODS,2293,2721.207831708504
2016-04-06,CA_2,FOODS,2458,2501.3755509332505
2016-04-07,CA_2,FOODS,2451,2625.936465487873
2016-04-08,CA_2,FOODS,2896,2849.8596808872844
2016-04-09,CA_2,FOODS,4118,3757.546671639161
2016-04-10,CA_2,FOODS,4111,3754.6773339031683
2016-04-11,CA_2,FOODS,2621,2684.7455756544205
2016-04-12,CA_2,FOODS,2627,2529.5314281382325
2016-04-13,CA_2,FOODS,2264,2618.5034047663603
2016-04-14,CA_2,FOODS,2200,2454.2730077686983
2016-04-15,CA_2,FOODS,2891,2731.7657088815263
2016-04-16,CA_2,FOODS,3423,2833.1693577533574
2016-04-17,CA_2,FOODS,3729,2931.2095238095235
2016-04-18,CA_2,FOODS,2625,2512.363093856879
2016-04-19,CA_2,FOODS,2410,2388.1138405461206
2016-04-20,CA_2,FOODS,2506,2289.318533934024
2016-04-21,CA_2,FOODS,2261,2344.1912541990046
2016-04-22,CA_2,FOODS,2871,2776.566999477762
2016-04-23,CA_2,FOODS,3760,3569.2704973390223
2016-04-24,CA_2,FOODS,4012,3808.866399065299
2016-03-28,CA_2,HOBBIES,366,344.63891787261076
2016-03-29,CA_2,HOBBIES,490,334.5638919580649
2016-03-30,CA_2,HOBBIES,249,363.28547866154827
2016-03-31,CA_2,HOBBIES,290,320.67392766219945
2016-04-01,CA_2,HOBBIES,525,420.44922693851964
2016-04-02,CA_2,HOBBIES,576,537.8219265747676
2016-04-03,CA_2,HOBBIES,511,507.71839231511365
2016-04-04,CA_2,HOBBIES,302,365.471419250446
2016-04-05,CA_2,HOBBIES,315,350.55984161452284
2016-04-06,CA_2,HOBBIES,430,341.8669409657936
2016-04-07,CA_2,HOBBIES,367,352.1783450729085
2016-04-08,CA_2,HOBBIES,398,420.20993062893285
2016-04-09,CA_2,HOBBIES,574,537.0143477427875
2016-04-10,CA_2,HOBBIES,605,469.6137597853831
2016-04-11,CA_2,HOBBIES,283,358.266589703326
2016-04-12,CA_2,HOBBIES,360,341.1942714847604
2016-04-13,CA_2,HOBBIES,343,379.77162250774694
2016-04-14,CA_2,HOBBIES,374,347.07044019795916
2016-04-15,CA_2,HOBBIES,483,411.0576810020207
2016-04-16,CA_2,HOBBIES,486,479.04144303421214
2016-04-17,CA_2,HOBBIES,483,482.7254121751186
2016-04-18,CA_2,HOBBIES,320,352.4035628148664
2016-04-19,CA_2,HOBBIES,368,342.98832185957076
2016-04-20,CA_2,HOBBIES,344,353.48206197969324
2016-04-21,CA_2,HOBBIES,271,352.61326289821744
2016-04-22,CA_2,HOBBIES,485,423.80111201019
2016-04-23,CA_2,HOBBIES,542,488.1962154241332
2016-04-24,CA_2,HOBBIES,507,477.75040037038457
2016-03-28,CA_2,HOUSEHOLD,903,1077.4782818654182
2016-03-29,CA_2,HOUSEHOLD,872,828.5101957979958
2016-03-30,CA_2,HOUSEHOLD,880,736.1675101672257
2016-03-31,CA_2,HOUSEHOLD,951,764.0869979715027
2016-04-01,CA_2,HOUSEHOLD,1181,1133.6194537250567
2016-04-02,CA_2,HOUSEHOLD,1673,1445.3364785366662
2016-04-03,CA_2,HOUSEHOLD,1881,1693.6487030390656
2016-04-04,CA_2,HOUSEHOLD,1005,1176.6765070295094
2016-04-05,CA_2,HOUSEHOLD,872,990.5971742496554
2016-04-06,CA_2,HOUSEHOLD,843,889.2989786222586
2016-04-07,CA_2,HOUSEHOLD,942,869.1807152368717
2016-04-08,CA_2,HOUSEHOLD,1153,1036.441002348523
2016-04-09,CA_2,HOUSEHOLD,1661,1546.102075389054
2016-04-10,CA_2,HOUSEHOLD,1581,1710.9391535104794
2016-04-11,CA_2,HOUSEHOLD,987,1022.124604382846
2016-04-12,CA_2,HOUSEHOLD,811,930.8708974201182
2016-04-13,CA_2,HOUSEHOLD,938,834.8502706639414
2016-04-14,CA_2,HOUSEHOLD,867,949.4263590785736
2016-04-15,CA_2,HOUSEHOLD,1066,1003.8694910917421
2016-04-16,CA_2,HOUSEHOLD,1443,1114.7401832642706
2016-04-17,CA_2,HOUSEHOLD,1548,1401.1481653115447
2016-04-18,CA_2,HOUSEHOLD,885,989.071325017895
2016-04-19,CA_2,HOUSEHOLD,853,824.266905045803
2016-04-20,CA_2,HOUSEHOLD,841,878.2623571266563
2016-04-21,CA_2,HOUSEHOLD,771,848.6490828019404
2016-04-22,CA_2,HOUSEHOLD,1101,965.5765666709776
2016-04-23,CA_2,HOUSEHOLD,1582,1381.916605851842
2016-04-24,CA_2,HOUSEHOLD,1563,1604.2237487955153
2016-03-28,CA_3,FOODS,3335,3913.5002813025376
2016-03-29,CA_3,FOODS,3493,3626.8140723408196
2016-03-30,CA_3,FOODS,3299,3493.773250801189
2016-03-31,CA_3,FOODS,3432,3411.7862470617524
2016-04-01,CA_3,FOODS,3977,3886.8949497371486
2016-04-02,CA_3,FOODS,4466,4971.813958555611
2016-04-03,CA_3,FOODS,5171,5251.22918124991
2016-04-04,CA_3,FOODS,4195,4428.681363491238
2016-04-05,CA_3,FOODS,4132,3974.490699449725
2016-04-06,CA_3,FOODS,3829,3896.208044557109
2016-04-07,CA_3,FOODS,3667,3797.842616149912
2016-04-08,CA_3,FOODS,3937,3810.971725001591
2016-04-09,CA_3,FOODS,4910,4810.7379127472905
2016-04-10,CA_3,FOODS,5453,4965.215066544804
2016-04-11,CA_3,FOODS,4202,4551.604842040035
2016-04-12,CA_3,FOODS,3692,3800.6971137478804
2016-04-13,CA_3,FOODS,3403,3745.562232438284
2016-04-14,CA_3,FOODS,3344,3528.975929502316
2016-04-15,CA_3,FOODS,3471,3684.736088897212
2016-04-16,CA_3,FOODS,4307,4420.814663640264
2016-04-17,CA_3,FOODS,5127,4825.662541970859
2016-04-18,CA_3,FOODS,3827,3953.153468835751
2016-04-19,CA_3,FOODS,3468,3536.923516755369
2016-04-20,CA_3,FOODS,3286,3436.4873719225197
2016-04-21,CA_3,FOODS,3056,3298.641905869074
2016-04-22,CA_3,FOODS,3409,3490.9773372079885
2016-04-23,CA_3,FOODS,4459,4298.665061780393
2016-04-24,CA_3,FOODS,4698,4942.746073778536
2016-03-28,CA_3,HOBBIES,528,498.5327650545339
2016-03-29,CA_3,HOBBIES,472,479.04058369829306
2016-03-30,CA_3,HOBBIES,508,502.73002744507653
2016-03-31,CA_3,HOBBIES,482,547.4965622630951
2016-04-01,CA_3,HOBBIES,704,692.3060067222833
2016-04-02,CA_3,HOBBIES,588,718.0779445973432
2016-04-03,CA_3,HOBBIES,818,683.2749042334341
2016-04-04,CA_3,HOBBIES,533,544.5205697971487
2016-04-05,CA_3,HOBBIES,465,539.1196369192554
2016-04-06,CA_3,HOBBIES,477,485.96237506420874
2016-04-07,CA_3,HOBBIES,489,525.2125771521137
2016-04-08,CA_3,HOBBIES,538,587.1036871926495
2016-04-09,CA_3,HOBBIES,648,663.014580411416
2016-04-10,CA_3,HOBBIES,636,688.8543962054775
2016-04-11,CA_3,HOBBIES,563,521.1322988922216
2016-04-12,CA_3,HOBBIES,450,497.60928589938186
2016-04-13,CA_3,HOBBIES,505,501.6392356066924
2016-04-14,CA_3,HOBBIES,558,505.4619108396585
2016-04-15,CA_3,HOBBIES,432,608.0723455892814
2016-04-16,CA_3,HOBBIES,635,621.79047092155
2016-04-17,CA_3,HOBBIES,848,634.1955377295881
2016-04-18,CA_3,HOBBIES,467,523.4850610156597
2016-04-19,CA_3,HOBBIES,588,478.6591400110814
2016-04-20,CA_3,HOBBIES,534,498.1009855596234
2016-04-21,CA_3,HOBBIES,540,548.9802740988317
2016-04-22,CA_3,HOBBIES,598,574.9295470247542
2016-04-23,CA_3,HOBBIES,765,638.1555907381488
2016-04-24,CA_3,HOBBIES,670,767.9852644896102
2016-03-28,CA_3,HOUSEHOLD,1624,1633.201309977998
2016-03-29,CA_3,HOUSEHOLD,1528,1585.71400208593
2016-03-30,CA_3,HOUSEHOLD,1395,1477.6688351474754
2016-03-31,CA_3,HOUSEHOLD,1560,1466.1441094110626
2016-04-01,CA_3,HOUSEHOLD,1890,1812.6523331977805
2016-04-02,CA_3,HOUSEHOLD,2152,2280.187390178833
2016-04-03,CA_3,HOUSEHOLD,2410,2418.5859077335153
2016-04-04,CA_3,HOUSEHOLD,1894,1713.63169288951
2016-04-05,CA_3,HOUSEHOLD,1624,1665.920133057388
2016-04-06,CA_3,HOUSEHOLD,1379,1524.983896992821
2016-04-07,CA_3,HOUSEHOLD,1479,1507.6358173493988
2016-04-08,CA_3,HOUSEHOLD,1716,1687.4010517443014
2016-04-09,CA_3,HOUSEHOLD,2224,2211.3860342298676
2016-04-10,CA_3,HOUSEHOLD,2513,2313.5898126451275
2016-04-11,CA_3,HOUSEHOLD,1815,1781.256104902599
2016-04-12,CA_3,HOUSEHOLD,1499,1616.0163900112034
2016-04-13,CA_3,HOUSEHOLD,1469,1486.5883859792898
2016-04-14,CA_3,HOUSEHOLD,1591,1508.9794815803225
2016-04-15,CA_3,HOUSEHOLD,1434,1738.582931473999
2016-04-16,CA_3,HOUSEHOLD,1994,2064.0663533067004
2016-04-17,CA_3,HOUSEHOLD,2296,2219.2736467823665
2016-04-18,CA_3,HOUSEHOLD,1774,1698.2391784793635
2016-04-19,CA_3,HOUSEHOLD,1627,1517.807198948519
2016-04-20,CA_3,HOUSEHOLD,1415,1491.269268333677
2016-04-21,CA_3,HOUSEHOLD,1422,1472.0727957860495
2016-04-22,CA_3,HOUSEHOLD,1616,1545.2055369827958
2016-04-23,CA_3,HOUSEHOLD,2195,2008.6159676018754
2016-04-24,CA_3,HOUSEHOLD,2353,2163.4202581510444
2016-03-28,CA_4,FOODS,1630,1641.6688625203037
2016-03-29,CA_4,FOODS,1438,1513.9924848393948
2016-03-30,CA_4,FOODS,1371,1474.9965686018622
2016-03-31,CA_4,FOODS,1518,1452.5301994402078
2016-04-01,CA_4,FOODS,1701,1884.813547177871
2016-04-02,CA_4,FOODS,1920,2239.344846595751
2016-04-03,CA_4,FOODS,2074,2053.6880915489296
2016-04-04,CA_4,FOODS,1840,1714.2346524616978
2016-04-05,CA_4,FOODS,1665,1623.764630574528
2016-04-06,CA_4,FOODS,1607,1520.5338146519664
2016-04-07,CA_4,FOODS,1586,1583.75184029956
2016-04-08,CA_4,FOODS,1597,1692.8712132740295
2016-04-09,CA_4,FOODS,2091,1854.5913836000175
2016-04-10,CA_4,FOODS,2150,2048.694921448244
2016-04-11,CA_4,FOODS,1694,1689.8120843088298
2016-04-12,CA_4,FOODS,1395,1580.4154638641385
2016-04-13,CA_4,FOODS,1415,1476.409272995893
2016-04-14,CA_4,FOODS,1541,1478.177350978997
2016-04-15,CA_4,FOODS,1664,1716.069831033046
2016-04-16,CA_4,FOODS,1883,1978.8086412776001
2016-04-17,CA_4,FOODS,1995,2119.337681838496
2016-04-18,CA_4,FOODS,1879,1642.5596178887686
2016-04-19,CA_4,FOODS,1722,1569.29202967909
2016-04-20,CA_4,FOODS,1581,1513.3342536571502
2016-04-21,CA_4,FOODS,1629,1598.9765460382241
2016-04-22,CA_4,FOODS,1751,1753.8302019484745
2016-04-23,CA_4,FOODS,1971,2016.0940876595569
2016-04-24,CA_4,FOODS,2043,2059.321229597498
2016-03-28,CA_4,HOBBIES,325,292.493567009948
2016-03-29,CA_4,HOBBIES,361,317.73044642408433
2016-03-30,CA_4,HOBBIES,444,363.29375852908294
2016-03-31,CA_4,HOBBIES,306,346.77898694983577
2016-04-01,CA_4,HOBBIES,325,422.3604684628548
2016-04-02,CA_4,HOBBIES,409,417.0800380725435
2016-04-03,CA_4,HOBBIES,332,379.72908162535464
2016-04-04,CA_4,HOBBIES,405,342.90601592728603
2016-04-05,CA_4,HOBBIES,461,335.49128540570484
2016-04-06,CA_4,HOBBIES,325,341.1162692661726
2016-04-07,CA_4,HOBBIES,330,317.2475586466598
2016-04-08,CA_4,HOBBIES,319,364.39106426167467
2016-04-09,CA_4,HOBBIES,359,407.19706325675725
2016-04-10,CA_4,HOBBIES,363,363.64790858176457
2016-04-11,CA_4,HOBBIES,325,342.14317557675815
2016-04-12,CA_4,HOBBIES,278,329.6802750669872
2016-04-13,CA_4,HOBBIES,317,288.5917899807912
2016-04-14,CA_4,HOBBIES,505,311.28427705921035
2016-04-15,CA_4,HOBBIES,342,388.64256779095723
2016-04-16,CA_4,HOBBIES,333,405.92667787754675
2016-04-17,CA_4,HOBBIES,344,395.39826372118677
2016-04-18,CA_4,HOBBIES,377,317.3852849491145
2016-04-19,CA_4,HOBBIES,398,329.88895436649165
2016-04-20,CA_4,HOBBIES,405,324.8953531996726
2016-04-21,CA_4,HOBBIES,369,326.4584339431515
2016-04-22,CA_4,HOBBIES,405,364.0252122980486
2016-04-23,CA_4,HOBBIES,390,405.2538268342168
2016-04-24,CA_4,HOBBIES,466,373.64287394508125
2016-03-28,CA_4,HOUSEHOLD,490,482.15013024323014
2016-03-29,CA_4,HOUSEHOLD,444,464.60637240126465
2016-03-30,CA_4,HOUSEHOLD,507,455.63212799548603
2016-03-31,CA_4,HOUSEHOLD,646,484.89220763282333
2016-04-01,CA_4,HOUSEHOLD,555,584.0198995551182
2016-04-02,CA_4,HOUSEHOLD,711,667.1749097810502
2016-04-03,CA_4,HOUSEHOLD,734,665.8840379710389
2016-04-04,CA_4,HOUSEHOLD,543,520.0384776524891
2016-04-05,CA_4,HOUSEHOLD,506,491.59218355128286
2016-04-06,CA_4,HOUSEHOLD,495,488.53862909100803
2016-04-07,CA_4,HOUSEHOLD,493,496.12410501651686
2016-04-08,CA_4,HOUSEHOLD,441,534.142403226201
2016-04-09,CA_4,HOUSEHOLD,614,602.1462726548004
2016-04-10,CA_4,HOUSEHOLD,682,634.7405564850445
2016-04-11,CA_4,HOUSEHOLD,516,517.3975230010053
2016-04-12,CA_4,HOUSEHOLD,501,483.37579293452984
2016-04-13,CA_4,HOUSEHOLD,482,471.5981976129684
2016-04-14,CA_4,HOUSEHOLD,452,475.35920299676377
2016-04-15,CA_4,HOUSEHOLD,490,498.3217356434088
2016-04-16,CA_4,HOUSEHOLD,623,604.4193396779078
2016-04-17,CA_4,HOUSEHOLD,708,632.8679353986522
2016-04-18,CA_4,HOUSEHOLD,553,499.79954078933036
2016-04-19,CA_4,HOUSEHOLD,557,481.4748412671997
2016-04-20,CA_4,HOUSEHOLD,514,495.44415802887687
2016-04-21,CA_4,HOUSEHOLD,460,497.4621865634298
2016-04-22,CA_4,HOUSEHOLD,472,505.6316582745526
2016-04-23,CA_4,HOUSEHOLD,593,596.9892135218622
2016-04-24,CA_4,HOUSEHOLD,762,619.4764755230635
2016-03-28,TX_1,FOODS,1806,1721.25062212547
2016-03-29,TX_1,FOODS,1556,1811.0107161070534
2016-03-30,TX_1,FOODS,1636,1665.2445396143564
2016-03-31,TX_1,FOODS,1588,1735.3033966774012
2016-04-01,TX_1,FOODS,2038,2045.1250282656513
2016-04-02,TX_1,FOODS,2351,2432.4866335145193
2016-04-03,TX_1,FOODS,2677,2659.662755249134
2016-04-04,TX_1,FOODS,1895,1926.5850405943368
2016-04-05,TX_1,FOODS,2045,1885.0808233604175
2016-04-06,TX_1,FOODS,2061,1877.3607093502387
2016-04-07,TX_1,FOODS,2047,2006.6495650670759
2016-04-08,TX_1,FOODS,2087,2054.7632591142283
2016-04-09,TX_1,FOODS,2617,2498.59101009832
2016-04-10,TX_1,FOODS,2648,2613.4631159722044
2016-04-11,TX_1,FOODS,1965,2189.128995211911
2016-04-12,TX_1,FOODS,2028,2108.5506057168363
2016-04-13,TX_1,FOODS,1901,2033.4074853742225
2016-04-14,TX_1,FOODS,1808,1870.341204342744
2016-04-15,TX_1,FOODS,2049,1937.8330619413878
2016-04-16,TX_1,FOODS,2412,2356.5255684381564
2016-04-17,TX_1,FOODS,2629,2543.746853314126
2016-04-18,TX_1,FOODS,2434,1912.266094491109
2016-04-19,TX_1,FOODS,2113,1920.3211751727604
2016-04-20,TX_1,FOODS,1834,1919.3350066313758
2016-04-21,TX_1,FOODS,1777,1778.229727968117
2016-04-22,TX_1,FOODS,1922,2045.8418414159783
2016-04-23,TX_1,FOODS,2319,2321.4681529147797
2016-04-24,TX_1,FOODS,2491,2713.59547644036
2016-03-28,TX_1,HOBBIES,232,247.92165254245367
2016-03-29,TX_1,HOBBIES,241,248.7025276930075
2016-03-30,TX_1,HOBBIES,284,246.83862029561405
2016-03-31,TX_1,HOBBIES,213,245.41555252973285
2016-04-01,TX_1,HOBBIES,305,284.5231052316922
2016-04-02,TX_1,HOBBIES,506,319.88266126840455
2016-04-03,TX_1,HOBBIES,305,357.2654499926706
2016-04-04,TX_1,HOBBIES,255,252.7701431961329
2016-04-05,TX_1,HOBBIES,258,253.2785800994081
2016-04-06,TX_1,HOBBIES,272,253.53244190999482
2016-04-07,TX_1,HOBBIES,230,258.1847211336976
2016-04-08,TX_1,HOBBIES,314,312.0219566480834
2016-04-09,TX_1,HOBBIES,357,437.13787512623094
2016-04-10,TX_1,HOBBIES,319,331.85935464085634
2016-04-11,TX_1,HOBBIES,293,256.0268769133884
2016-04-12,TX_1,HOBBIES,196,257.5465939232631
2016-04-13,TX_1,HOBBIES,276,247.41333202225672
2016-04-14,TX_1,HOBBIES,277,258.52104470332677
2016-04-15,TX_1,HOBBIES,258,284.7788883408425
2016-04-16,TX_1,HOBBIES,273,331.19507556017766
2016-04-17,TX_1,HOBBIES,447,316.6209392772724
2016-04-18,TX_1,HOBBIES,216,255.03766209083517
2016-04-19,TX_1,HOBBIES,292,246.47965185747555
2016-04-20,TX_1,HOBBIES,273,255.83272255347146
2016-04-21,TX_1,HOBBIES,219,259.4806892869169
2016-04-22,TX_1,HOBBIES,271,274.24833427701554
2016-04-23,TX_1,HOBBIES,289,317.0494213521135
2016-04-24,TX_1,HOBBIES,372,348.7365174948616
2016-03-28,TX_1,HOUSEHOLD,988,877.784450175345
2016-03-29,TX_1,HOUSEHOLD,702,840.8555313057725
2016-03-30,TX_1,HOUSEHOLD,881,802.9433637601667
2016-03-31,TX_1,HOUSEHOLD,830,853.7517215479952
2016-04-01,TX_1,HOUSEHOLD,1046,1045.9726452495806
2016-04-02,TX_1,HOUSEHOLD,1161,1183.244824047412
2016-04-03,TX_1,HOUSEHOLD,1293,1222.5457685331455
2016-04-04,TX_1,HOUSEHOLD,882,946.3676665777192
2016-04-05,TX_1,HOUSEHOLD,912,829.5780045369637
2016-04-06,TX_1,HOUSEHOLD,868,889.4698560047741
2016-04-07,TX_1,HOUSEHOLD,823,857.7083544152084
2016-04-08,TX_1,HOUSEHOLD,900,922.2061683709481
2016-04-09,TX_1,HOUSEHOLD,1094,1158.6611693002476
2016-04-10,TX_1,HOUSEHOLD,1181,1200.5519304863037
2016-04-11,TX_1,HOUSEHOLD,910,938.6826199727635
2016-04-12,TX_1,HOUSEHOLD,805,928.9422218950984
2016-04-13,TX_1,HOUSEHOLD,675,818.1283137939321
2016-04-14,TX_1,HOUSEHOLD,839,761.8593958072461
2016-04-15,TX_1,HOUSEHOLD,777,889.7502486962616
2016-04-16,TX_1,HOUSEHOLD,1039,1093.4467143433824
2016-04-17,TX_1,HOUSEHOLD,1116,1136.3427683825514
2016-04-18,TX_1,HOUSEHOLD,760,873.8266987862157
2016-04-19,TX_1,HOUSEHOLD,852,758.7244489023744
2016-04-20,TX_1,HOUSEHOLD,794,781.2106835685823
2016-04-21,TX_1,HOUSEHOLD,780,778.7415494807341
2016-04-22,TX_1,HOUSEHOLD,829,868.9132405271891
2016-04-23,TX_1,HOUSEHOLD,1092,1039.8031063202425
2016-04-24,TX_1,HOUSEHOLD,1170,1118.875627276593
2016-03-28,TX_2,FOODS,2403,2459.142835043047
