year,month,total_sales
2011,1,88163
2011,2,726375
2011,3,763567
2011,4,737713
2011,5,719562
2011,6,753380
2011,7,819820
2011,8,825694
2011,9,813683
2011,10,898243
2011,11,823087
2011,12,887298
2012,1,893375
2012,2,897990
2012,3,986894
2012,4,944858
2012,5,997746
2012,6,1095609
2012,7,1080777
2012,8,1102780
2012,9,1064364
2012,10,1006308
2012,11,960684
2012,12,1030452
2013,1,1008560
2013,2,1010660
2013,3,1117570
2013,4,1034036
2013,5,1074683
2013,6,1135593
2013,7,1159467
2013,8,1204813
2013,9,1166515
2013,10,1124523
2013,11,1044799
2013,12,1054534
2014,1,1057012
2014,2,1009760
2014,3,1123706
2014,4,1104287
2014,5,1093092
2014,6,1110031
2014,7,1151764
2014,8,1184102
2014,9,1088414
2014,10,1103078
2014,11,1051078
2014,12,1013452
2015,1,1083115
2015,2,1031877
2015,3,1119727
2015,4,1093429
2015,5,1153014
2015,6,1155599
2015,7,1232147
2015,8,1254341
2015,9,1188913
2015,10,1248437
2015,11,1113976
2015,12,1126236
2016,1,1215286
2016,2,1212927
2016,3,1275746
2016,4,1046688
