date,store_id,state_id,cat_id,total_sales,average_price
2011-01-29,WI_1,WI,FOODS,1581,2.759773371104816
2011-01-29,WI_2,WI,FOODS,1615,2.80715710723192
2011-01-29,CA_2,CA,HOBBIES,538,4.606470588235294
2011-01-29,WI_2,WI,HOBBIES,190,4.869885057471264
2011-01-29,CA_3,CA,HOBBIES,550,4.586119402985075
2011-01-29,WI_2,WI,HOUSEHOLD,451,5.464806451612902
2011-01-29,CA_4,CA,HOBBIES,158,5.055555555555555
2011-01-29,CA_1,CA,HOUSEHOLD,542,5.41609947643979
2011-01-29,TX_3,TX,HOBBIES,243,4.740829015544041
2011-01-29,TX_3,TX,FOODS,2284,2.929892280071813
2011-01-29,WI_1,WI,HOBBIES,615,4.634843749999999
2011-01-29,TX_1,TX,HOBBIES,251,4.674835164835164
2011-01-29,TX_1,TX,FOODS,1781,2.9489583333333336
2011-01-29,CA_1,CA,HOBBIES,556,4.46881443298969
2011-01-29,CA_3,CA,FOODS,3446,3.0419685039370075
2011-01-29,CA_2,CA,FOODS,2193,2.8765848214285716
2011-01-29,CA_3,CA,HOUSEHOLD,743,5.614754521963824
2011-01-29,TX_2,TX,HOBBIES,385,4.690149253731344
2011-01-29,TX_3,TX,HOUSEHOLD,503,5.291948424068768
2011-01-29,TX_2,TX,FOODS,2788,2.9564743589743587
2011-01-29,CA_2,CA,HOUSEHOLD,763,5.5602
2011-01-29,WI_1,WI,HOUSEHOLD,508,5.472964959568732
2011-01-29,WI_3,WI,HOUSEHOLD,732,5.262981029810297
2011-01-29,TX_1,TX,HOUSEHOLD,524,5.318895348837209
2011-01-29,WI_3,WI,FOODS,3028,2.987332214765101
2011-01-29,CA_4,CA,FOODS,1223,2.9532702237521513
2011-01-29,CA_4,CA,HOUSEHOLD,244,5.457537091988129
2011-01-29,TX_2,TX,HOUSEHOLD,679,5.460626631853786
2011-01-29,CA_1,CA,FOODS,3239,3.1492197452229305
2011-01-29,WI_3,WI,HOBBIES,278,4.523247422680412
2011-01-30,CA_2,CA,HOBBIES,397,4.606470588235294
2011-01-30,CA_2,CA,HOUSEHOLD,728,5.5602
2011-01-30,CA_4,CA,HOUSEHOLD,272,5.457537091988129
2011-01-30,WI_3,WI,HOUSEHOLD,736,5.262981029810297
2011-01-30,TX_1,TX,HOUSEHOLD,520,5.318895348837209
2011-01-30,WI_1,WI,HOBBIES,443,4.634843749999999
2011-01-30,TX_3,TX,HOUSEHOLD,502,5.291948424068768
2011-01-30,WI_3,WI,HOBBIES,356,4.523247422680412
2011-01-30,CA_3,CA,FOODS,3535,3.0419685039370075
2011-01-30,CA_3,CA,HOUSEHOLD,862,5.614754521963824
2011-01-30,WI_2,WI,FOODS,1433,2.80715710723192
2011-01-30,CA_1,CA,HOBBIES,498,4.46881443298969
2011-01-30,TX_2,TX,HOBBIES,359,4.690149253731344
2011-01-30,TX_3,TX,HOBBIES,247,4.740829015544041
2011-01-30,TX_2,TX,HOUSEHOLD,708,5.460626631853786
2011-01-30,WI_1,WI,HOUSEHOLD,424,5.472964959568732
2011-01-30,CA_1,CA,HOUSEHOLD,520,5.41609947643979
2011-01-30,WI_2,WI,HOUSEHOLD,362,5.464806451612902
2011-01-30,WI_2,WI,HOBBIES,127,4.869885057471264
2011-01-30,WI_3,WI,FOODS,3106,2.987332214765101
2011-01-30,CA_4,CA,FOODS,1269,2.9532702237521513
