item_id,total_sales
FOODS_3_090,1002529
FOODS_3_586,920242
FOODS_3_252,565299
FOODS_3_555,491287
FOODS_3_714,396172
FOODS_3_587,396119
FOODS_3_694,390001
FOODS_3_226,363082
FOODS_3_202,295689
FOODS_3_723,284333
FOODS_3_120,283104
FOODS_3_635,282134
FOODS_3_808,281879
FOODS_3_377,273289
FOODS_3_541,272624
FOODS_3_080,262650
FOODS_3_318,260598
FOODS_2_360,257119
FOODS_3_234,251160
FOODS_3_681,250018
FOODS_1_218,234594
FOODS_3_376,228551
FOODS_3_607,222594
FOODS_3_099,213577
FOODS_3_319,208357
FOODS_3_752,202238
FOODS_3_295,202031
FOODS_3_804,200598
FOODS_3_501,199847
FOODS_3_491,196627
FOODS_3_462,192125
FOODS_3_711,191364
FOODS_3_282,186791
FOODS_3_007,184962
FOODS_3_547,180254
FOODS_3_030,179917
FOODS_3_811,178034
FOODS_3_281,176754
HOUSEHOLD_1_334,171275
HOUSEHOLD_1_459,170532
FOODS_3_389,169069
FOODS_3_498,166432
FOODS_3_458,165570
FOODS_2_197,162173
FOODS_2_276,158887
FOODS_3_288,158133
FOODS_3_764,153520
HOUSEHOLD_1_521,153340
FOODS_3_412,150568
FOODS_2_128,149465
HOUSEHOLD_1_303,148818
FOODS_1_085,148487
FOODS_3_150,147532
HOUSEHOLD_1_110,146719
FOODS_3_329,146275
FOODS_3_362,146207
FOODS_3_739,143589
FOODS_3_406,141421
FOODS_3_228,140886
FOODS_3_109,139037
FOODS_3_580,138771
FOODS_2_181,138531
FOODS_3_668,136922
FOODS_2_326,135137
FOODS_3_455,134776
FOODS_3_516,134051
FOODS_1_018,133105
FOODS_1_004,129481
HOUSEHOLD_1_327,129262
FOODS_1_043,128933
HOUSEHOLD_1_083,128097
FOODS_1_046,126250
FOODS_1_032,125878
HOUSEHOLD_1_019,124319
FOODS_3_785,123450
FOODS_3_702,123389
FOODS_3_499,123221
HOBBIES_1_371,122565
HOUSEHOLD_1_234,121896
FOODS_2_021,121679
FOODS_3_086,120759
HOUSEHOLD_1_118,119547
FOODS_3_744,118617
HOUSEHOLD_1_465,116846
HOUSEHOLD_1_418,116448
HOUSEHOLD_1_339,115453
FOODS_3_741,113485
FOODS_3_756,112322
HOUSEHOLD_1_179,112005
HOUSEHOLD_1_447,111659
FOODS_3_404,110046
HOUSEHOLD_1_198,109692
HOUSEHOLD_1_351,109455
FOODS_3_348,108903
HOUSEHOLD_1_277,107336
HOBBIES_1_348,105876
FOODS_3_444,105544
FOODS_2_347,105036
HOUSEHOLD_1_409,104560
FOODS_3_154,101583
FOODS_3_454,100811
FOODS_3_136,100597
FOODS_3_245,100314
FOODS_3_313,99945
FOODS_3_435,99356
FOODS_2_019,98911
FOODS_3_473,98654
FOODS_3_697,98653
FOODS_3_734,98424
HOUSEHOLD_1_389,97792
FOODS_3_767,97189
HOUSEHOLD_1_439,97183
HOUSEHOLD_1_151,97164
FOODS_3_446,96285
FOODS_2_244,95346
HOBBIES_1_268,95171
FOODS_3_070,94454
FOODS_3_524,94365
FOODS_3_816,94176
FOODS_3_755,92996
FOODS_3_042,92924
HOBBIES_1_341,92427
FOODS_3_503,92370
FOODS_1_096,92357
FOODS_3_672,90702
HOBBIES_1_178,90433
HOUSEHOLD_1_373,90359
FOODS_3_800,90197
FOODS_3_133,90002
HOBBIES_1_370,89792
FOODS_1_161,88124
HOBBIES_1_008,87645
FOODS_3_688,87559
HOBBIES_1_254,87155
FOODS_3_526,86546
FOODS_3_574,85928
FOODS_3_468,85612
FOODS_3_219,85377
FOODS_1_012,85122
HOBBIES_1_015,84541
FOODS_3_474,84512
FOODS_3_113,83713
FOODS_3_413,83534
FOODS_2_013,82174
FOODS_2_371,82147
FOODS_2_325,81701
FOODS_3_477,81132
HOUSEHOLD_1_535,80783
FOODS_1_184,80580
FOODS_2_152,80460
FOODS_3_263,80264
FOODS_3_570,79461
FOODS_3_363,79268
HOBBIES_1_256,79121
FOODS_3_792,78924
FOODS_3_351,78577
HOUSEHOLD_1_514,78093
HOUSEHOLD_1_474,77106
FOODS_3_449,76021
FOODS_3_349,75994
FOODS_3_227,75908
HOUSEHOLD_1_304,75780
HOBBIES_1_048,75717
FOODS_3_064,75695
FOODS_1_110,75548
HOBBIES_1_278,74840
HOBBIES_1_404,74830
FOODS_3_327,74715
FOODS_3_695,74538
FOODS_3_572,74406
FOODS_3_769,74072
HOUSEHOLD_1_096,73430
FOODS_3_738,73171
FOODS_3_704,72990
HOUSEHOLD_1_114,72525
HOUSEHOLD_1_051,72161
HOBBIES_1_295,71999
FOODS_3_476,71934
FOODS_3_546,71762
FOODS_3_511,71032
HOBBIES_1_103,71019
HOUSEHOLD_1_294,70920
HOUSEHOLD_1_072,69608
FOODS_3_233,69415
FOODS_3_124,69057
HOUSEHOLD_1_191,68423
FOODS_3_664,68270
FOODS_2_016,68058
FOODS_3_342,67867
HOBBIES_1_244,67748
FOODS_1_082,67513
FOODS_3_594,67217
FOODS_3_346,66906
FOODS_3_324,66836
FOODS_3_469,66704
FOODS_1_162,66572
HOUSEHOLD_1_399,66560
FOODS_3_809,66552
FOODS_3_231,66327
FOODS_3_789,65812
FOODS_3_782,65654
HOBBIES_1_067,65475
FOODS_1_173,65333
HOUSEHOLD_1_040,65124
FOODS_2_204,64958
FOODS_3_117,64951
HOUSEHOLD_1_414,64582
FOODS_3_746,64384
HOUSEHOLD_1_517,64073
FOODS_1_170,63931
FOODS_1_019,63703
FOODS_1_204,63677
FOODS_1_099,63632
HOBBIES_1_032,63473
FOODS_3_101,63417
FOODS_3_783,63247
FOODS_2_222,63120
HOBBIES_1_233,62438
FOODS_2_164,62224
FOODS_3_054,62178
FOODS_3_652,62104
FOODS_3_290,61898
HOUSEHOLD_1_247,61300
FOODS_3_107,60688
FOODS_2_315,60677
FOODS_3_757,60452
HOBBIES_1_016,59819
FOODS_3_441,59794
FOODS_3_258,59388
HOUSEHOLD_1_506,59250
HOUSEHOLD_1_516,58917
FOODS_3_020,58721
FOODS_3_807,58676
HOBBIES_1_234,58244
FOODS_2_380,58204
FOODS_3_540,58179
FOODS_3_822,58133
HOBBIES_1_312,58036
HOUSEHOLD_1_473,57993
FOODS_3_753,57873
FOODS_3_682,57762
HOBBIES_1_189,57674
FOODS_3_403,57576
FOODS_3_116,57491
FOODS_3_407,57486
HOUSEHOLD_1_173,57464
FOODS_3_801,57234
FOODS_1_055,56993
HOUSEHOLD_1_319,56657
FOODS_3_339,56650
FOODS_3_787,56041
HOBBIES_1_398,56015
FOODS_2_054,55781
HOUSEHOLD_1_416,55639
FOODS_3_131,55613
HOBBIES_1_134,55472
HOBBIES_1_381,55372
FOODS_2_241,54841
FOODS_3_118,54632
HOUSEHOLD_1_448,54616
FOODS_1_058,54082
FOODS_2_240,53609
FOODS_2_293,53471
FOODS_3_039,53382
FOODS_3_285,53358
HOUSEHOLD_1_427,53233
FOODS_3_300,53221
HOUSEHOLD_1_090,53191
HOBBIES_1_019,53087
FOODS_1_113,53027
FOODS_2_183,52968
HOUSEHOLD_1_272,52844
HOBBIES_1_417,52723
HOUSEHOLD_1_235,52721
FOODS_2_056,52677
FOODS_2_285,52598
FOODS_3_368,52535
FOODS_1_067,52439
HOUSEHOLD_1_027,52145
FOODS_3_692,52121
FOODS_3_304,51845
HOUSEHOLD_1_254,51750
FOODS_3_654,51621
FOODS_3_305,51553
FOODS_3_634,51447
FOODS_3_108,51033
HOUSEHOLD_1_066,50828
FOODS_2_368,50638
HOBBIES_1_043,50228
HOBBIES_1_209,49959
FOODS_2_294,49885
FOODS_3_079,49634
FOODS_1_137,49603
HOUSEHOLD_1_387,49404
FOODS_1_217,49258
FOODS_3_230,48713
FOODS_3_134,48623
FOODS_3_399,48449
FOODS_1_086,48201
FOODS_3_460,48049
FOODS_2_065,47942
FOODS_3_259,47827
HOUSEHOLD_1_494,47760
HOBBIES_1_319,47422
FOODS_3_355,47327
FOODS_3_459,47177
FOODS_3_076,47119
FOODS_3_614,46938
FOODS_2_364,46776
FOODS_1_042,46194
HOUSEHOLD_1_379,46121
HOUSEHOLD_1_366,46002
FOODS_2_166,45949
FOODS_3_530,45823
FOODS_3_475,45678
FOODS_3_393,45565
FOODS_3_201,45230
HOBBIES_1_288,44969
HOUSEHOLD_1_149,44637
FOODS_3_135,44614
FOODS_3_628,44513
HOBBIES_1_169,44391
FOODS_3_326,44181
FOODS_2_063,44170
FOODS_2_322,44090
FOODS_2_398,44038
HOUSEHOLD_1_214,43992
HOUSEHOLD_1_243,43953
FOODS_3_093,43712
FOODS_3_127,43673
HOUSEHOLD_1_262,43559
FOODS_3_274,43445
FOODS_3_156,43254
FOODS_3_132,43110
FOODS_3_655,42610
HOUSEHOLD_1_045,42590
